1: France, 0, 10;
2: France, 1, 10;
3: France, 2, 10; France, 1, 4;
4: France, 2, 10; Spain, 3, 10;
5: Spain, 3, 20; France, 2, 4;
6: Spain, 3, 14; France, 5, 10;
211: France, 52, 64; Spain, 125, 48; Italy, 50, 44;
212: France, 52, 64; Spain, 125, 48; Italy, 50, 44;
213: France, 52, 64; Spain, 125, 48; Italy, 50, 44;
214: France, 52, 64; Italy, 50, 54; Spain, 125, 48;
215: France, 52, 64; Italy, 50, 54; Spain, 125, 48;
216: France, 52, 64; Spain, 125, 58; Italy, 50, 54;
217: Italy, 50, 64; France, 52, 64; Spain, 125, 58;
218: Spain, 125, 68; Italy, 50, 64; France, 52, 60;
219: Spain, 125, 68; Italy, 50, 64; France, 52, 60;
220: Spain, 125, 68; France, 52, 60; Italy, 171, 60;
221: Spain, 125, 68; France, 52, 60; Italy, 171, 60;
222: Spain, 125, 68; France, 52, 60; Italy, 171, 60;
223: Spain, 125, 62; France, 52, 60; Italy, 171, 60;
224: Italy, 50, 62; Spain, 125, 62; France, 52, 60;
225: Italy, 50, 62; Spain, 125, 62; France, 52, 60;
226: Italy, 50, 62; Spain, 125, 62; France, 52, 60;
227: Italy, 50, 62; Spain, 125, 62; France, 52, 60;
228: Italy, 50, 72; Spain, 125, 62; France, 52, 60;
229: Italy, 50, 72; Spain, 125, 62; France, 52, 60;
230: Italy, 50, 72; Spain, 125, 62; France, 52, 60;
231: Italy, 50, 72; Italy, 171, 70; Spain, 125, 62;
232: Italy, 171, 80; Italy, 50, 72; Spain, 125, 62;
233: Italy, 171, 80; Italy, 50, 72; Spain, 125, 62;
234: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
235: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
236: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
237: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
238: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
239: Italy, 50, 82; Italy, 171, 80; Spain, 125, 62;
240: Italy, 171, 90; Italy, 50, 82; Spain, 125, 62;
241: Italy, 171, 84; Italy, 50, 82; Spain, 125, 62;
242: Italy, 171, 84; Italy, 50, 82; Spain, 125, 62;
243: Italy, 171, 84; Italy, 50, 82; Spain, 125, 56;
244: Italy, 171, 84; Italy, 50, 82; Spain, 125, 56;
245: Italy, 171, 84; Italy, 50, 82; Spain, 125, 56;
246: Italy, 171, 84; Italy, 50, 82; Spain, 125, 56;
247: Italy, 171, 84; Italy, 50, 82; Spain, 125, 56;
248: Italy, 171, 84; Italy, 50, 82; Spain, 125, 52;
249: Italy, 171, 84; Italy, 50, 82; Spain, 125, 52;
250: Italy, 171, 84; Italy, 50, 82; Spain, 58, 54;
251: Italy, 171, 84; Italy, 50, 82; Spain, 58, 54;
252: Italy, 171, 84; Italy, 50, 82; Spain, 58, 54;
253: Italy, 171, 84; Italy, 50, 82; Spain, 58, 54;
254: Italy, 171, 94; Italy, 50, 78; Spain, 58, 54;
255: Italy, 171, 88; Italy, 50, 78; Spain, 58, 54;
256: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
257: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
258: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
259: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
260: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
261: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
262: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
263: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
264: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
265: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
266: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
267: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
268: Italy, 50, 88; Italy, 171, 88; Spain, 125, 56;
269: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
270: Italy, 50, 88; Italy, 171, 88; Spain, 58, 54;
271: Italy, 171, 88; Italy, 50, 82; Spain, 58, 54;
272: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
273: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
274: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
275: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
276: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
277: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
278: Italy, 171, 88; Italy, 50, 82; Spain, 89, 52;
279: Italy, 50, 92; Italy, 171, 88; Spain, 89, 52;
280: Italy, 50, 92; Italy, 171, 88; Spain, 89, 52;
281: Italy, 50, 92; Italy, 171, 82; Spain, 89, 52;
282: Italy, 50, 92; Italy, 171, 82; Spain, 125, 56;
283: Italy, 50, 102; Italy, 171, 82; Spain, 125, 56;
284: Italy, 50, 102; Italy, 171, 82; Spain, 125, 56;
285: Italy, 50, 112; Italy, 171, 82; Spain, 125, 56;
286: Italy, 50, 112; Italy, 171, 82; Spain, 125, 66;
287: Italy, 50, 112; Italy, 171, 82; Spain, 125, 66;
288: Italy, 50, 122; Italy, 171, 82; Spain, 125, 66;
289: Italy, 50, 122; Italy, 171, 82; Spain, 125, 66;
290: Italy, 50, 132; Italy, 171, 82; Spain, 125, 66;
291: Italy, 50, 132; Italy, 171, 82; Spain, 125, 66;
292: Italy, 50, 132; Italy, 171, 82; Spain, 125, 66;
293: Italy, 50, 126; Italy, 171, 82; Spain, 125, 66;
294: Italy, 50, 126; Italy, 171, 82; Spain, 125, 66;
295: Italy, 50, 126; Italy, 171, 76; Spain, 125, 66;
296: Italy, 50, 126; Italy, 171, 76; Spain, 125, 66;
297: Italy, 50, 126; Italy, 171, 76; Spain, 125, 66;
298: Italy, 50, 126; Italy, 171, 76; Spain, 125, 66;
299: Italy, 50, 126; Italy, 171, 76; Spain, 125, 66;
300: Italy, 50, 120; Italy, 171, 76; Spain, 125, 66;
301: Italy, 50, 120; Spain, 125, 76; Italy, 171, 76;
302: Italy, 50, 120; Spain, 125, 76; Italy, 171, 76;
303: Italy, 50, 120; Italy, 171, 76; Spain, 125, 70;
304: Italy, 50, 124; Italy, 171, 76; Spain, 125, 70;
305: Italy, 50, 124; Italy, 171, 76; Spain, 125, 70;
306: Italy, 50, 124; Italy, 171, 76; Spain, 125, 64;
307: Italy, 50, 124; Spain, 125, 74; Italy, 171, 70;
308: Italy, 50, 130; Spain, 125, 74; Italy, 171, 70;
309: Italy, 50, 130; Spain, 125, 84; Italy, 171, 64;
310: Italy, 50, 126; Spain, 125, 84; Italy, 171, 64;
311: Italy, 50, 126; Spain, 125, 84; Italy, 171, 64;
312: Italy, 50, 136; Spain, 125, 80; Italy, 171, 64;
313: Italy, 50, 136; Spain, 125, 80; Italy, 171, 64;
314: Italy, 50, 130; Spain, 125, 80; Italy, 171, 64;
315: Italy, 50, 130; Spain, 125, 80; Italy, 171, 64;
316: Italy, 50, 140; Spain, 125, 80; Italy, 171, 64;
317: Italy, 50, 140; Spain, 125, 80; Italy, 171, 64;
318: Italy, 50, 140; Spain, 125, 80; Italy, 171, 64;
319: Italy, 50, 140; Spain, 125, 80; Italy, 171, 64;
320: Italy, 50, 134; Spain, 125, 80; Italy, 171, 74;
321: Italy, 50, 134; Spain, 125, 80; Italy, 171, 74;
322: Italy, 50, 134; Spain, 125, 80; Italy, 171, 74;
323: Italy, 50, 134; Spain, 125, 80; Italy, 171, 74;
324: Italy, 50, 134; Spain, 125, 80; Italy, 171, 68;
325: Italy, 50, 144; Spain, 125, 80; Italy, 171, 62;
326: Italy, 50, 144; Spain, 125, 80; Italy, 171, 62;
327: Italy, 50, 144; Spain, 125, 90; Italy, 171, 62;
328: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
329: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
330: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
331: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
332: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
333: Italy, 50, 138; Spain, 125, 90; Italy, 171, 62;
334: Italy, 50, 148; Spain, 125, 90; Italy, 171, 62;
335: Italy, 50, 148; Spain, 125, 90; Spain, 58, 66;
336: Italy, 50, 148; Spain, 125, 90; Spain, 58, 66;
337: Italy, 50, 148; Spain, 125, 100; Spain, 58, 66;
338: Italy, 50, 148; Spain, 125, 100; Spain, 58, 66;
339: Italy, 50, 148; Spain, 125, 100; Spain, 58, 66;
340: Italy, 50, 148; Spain, 125, 96; Spain, 58, 66;
341: Italy, 50, 148; Spain, 125, 96; Spain, 58, 66;
342: Italy, 50, 158; Spain, 125, 96; Spain, 58, 66;
343: Italy, 50, 158; Spain, 125, 96; Spain, 58, 66;
344: Italy, 50, 158; Spain, 125, 96; Italy, 171, 72;
345: Italy, 50, 158; Spain, 125, 96; Italy, 171, 72;
346: Italy, 50, 158; Spain, 125, 96; Italy, 171, 72;
347: Italy, 50, 158; Spain, 125, 96; Italy, 171, 72;
348: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
349: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
350: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
351: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
352: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
353: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
354: Italy, 50, 158; Spain, 125, 106; Italy, 171, 82;
355: Italy, 50, 158; Spain, 125, 106; Italy, 171, 82;
356: Italy, 50, 158; Spain, 125, 106; Italy, 171, 76;
357: Italy, 50, 158; Spain, 125, 106; Italy, 171, 72;
358: Italy, 50, 158; Spain, 125, 116; Italy, 171, 72;
359: Italy, 50, 152; Spain, 125, 116; Italy, 171, 72;
360: Italy, 50, 162; Spain, 125, 116; Italy, 171, 72;
361: Italy, 50, 162; Spain, 125, 116; Italy, 171, 72;
362: Italy, 50, 162; Spain, 125, 116; Italy, 171, 72;
363: Italy, 50, 162; Spain, 125, 116; Italy, 171, 72;
364: Italy, 50, 162; Spain, 125, 116; Italy, 171, 72;
365: Italy, 50, 162; Spain, 125, 112; Italy, 171, 72;
366: Italy, 50, 162; Spain, 125, 112; Italy, 171, 72;
367: Italy, 50, 162; Spain, 125, 112; Italy, 171, 72;
368: Italy, 50, 162; Spain, 125, 112; Italy, 171, 72;
369: Italy, 50, 172; Spain, 125, 106; Italy, 171, 72;
370: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
371: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
372: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
373: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
374: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
375: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
376: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
377: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
378: Italy, 50, 172; Spain, 125, 116; Italy, 171, 72;
379: Italy, 50, 168; Spain, 125, 116; Italy, 171, 72;
380: Italy, 50, 168; Spain, 125, 116; Italy, 171, 72;
381: Italy, 50, 168; Spain, 125, 116; Italy, 171, 72;
382: Italy, 50, 168; Spain, 125, 126; Italy, 171, 72;
383: Italy, 50, 168; Spain, 125, 126; Italy, 171, 82;
384: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
385: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
386: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
387: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
388: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
389: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
390: Italy, 50, 168; Spain, 125, 126; Italy, 171, 92;
391: Italy, 50, 172; Spain, 125, 126; Italy, 171, 92;
392: Italy, 50, 172; Spain, 125, 126; Italy, 171, 92;
393: Italy, 50, 172; Spain, 125, 126; Italy, 171, 88;
394: Italy, 50, 172; Spain, 125, 126; Italy, 171, 88;
395: Italy, 50, 172; Spain, 125, 116; Italy, 171, 88;
396: Italy, 50, 172; Spain, 125, 116; Italy, 171, 88;
397: Italy, 50, 166; Spain, 125, 116; Italy, 171, 98;
398: Italy, 50, 166; Spain, 125, 116; Italy, 171, 98;
399: Italy, 50, 166; Spain, 125, 116; Italy, 171, 98;
400: Italy, 50, 170; Spain, 125, 116; Italy, 171, 98;
401: Italy, 50, 180; Spain, 125, 110; Italy, 171, 98;
402: Italy, 50, 180; Spain, 125, 110; Italy, 171, 98;
403: Italy, 50, 180; Spain, 125, 110; Italy, 171, 98;
404: Italy, 50, 174; Spain, 125, 120; Italy, 171, 98;
405: Italy, 50, 174; Spain, 125, 120; Italy, 171, 108;
406: Italy, 50, 174; Spain, 125, 120; Italy, 171, 108;
407: Italy, 50, 168; Spain, 125, 130; Italy, 171, 108;
408: Italy, 50, 168; Spain, 125, 130; Italy, 171, 108;
409: Italy, 50, 168; Spain, 125, 130; Italy, 171, 108;
410: Italy, 50, 164; Spain, 125, 130; Italy, 171, 118;
411: Italy, 50, 164; Spain, 125, 130; Italy, 171, 118;
412: Italy, 50, 164; Spain, 125, 130; Italy, 171, 114;
413: Italy, 50, 164; Spain, 125, 130; Italy, 171, 114;
414: Italy, 50, 164; Spain, 125, 130; Italy, 171, 114;
415: Italy, 50, 164; Spain, 125, 140; Italy, 171, 114;
416: Italy, 50, 164; Spain, 125, 140; Italy, 171, 114;
417: Italy, 50, 164; Spain, 125, 140; Italy, 171, 114;
418: Italy, 50, 164; Spain, 125, 140; Italy, 171, 114;
419: Italy, 50, 164; Spain, 125, 140; Italy, 171, 114;
420: Italy, 50, 160; Spain, 125, 140; Italy, 171, 114;
421: Italy, 50, 160; Spain, 125, 140; Italy, 171, 114;
422: Italy, 50, 160; Spain, 125, 134; Italy, 171, 114;
423: Italy, 50, 160; Spain, 125, 134; Italy, 171, 114;
424: Italy, 50, 160; Spain, 125, 130; Italy, 171, 114;
425: Italy, 50, 160; Spain, 125, 130; Italy, 171, 114;
426: Italy, 50, 150; Spain, 125, 130; Italy, 171, 114;
427: Italy, 50, 150; Spain, 125, 130; Italy, 171, 114;
428: Italy, 50, 150; Spain, 125, 126; Italy, 171, 114;
429: Italy, 50, 150; Spain, 125, 126; Italy, 171, 114;
430: Italy, 50, 150; Spain, 125, 120; Italy, 171, 120;
431: Italy, 50, 150; Spain, 125, 120; Italy, 171, 120;
432: Italy, 50, 144; Spain, 125, 120; Italy, 171, 116;
433: Italy, 50, 144; Italy, 171, 116; Spain, 125, 114;
434: Italy, 50, 144; Italy, 171, 116; Spain, 125, 114;
435: Italy, 50, 144; Italy, 171, 116; Spain, 125, 114;
436: Italy, 50, 144; Italy, 171, 116; Spain, 125, 114;
437: Italy, 50, 138; Italy, 171, 116; Spain, 125, 114;
